Kind,Name,PercentLackOfCohesion,AvgCyclomatic,SumCyclomatic,Essential,MaxNesting,MaxInheritanceTree,CountClassDerived,CountClassBase,CountClassCoupled,CountLineCode,CountLineComment,CountDeclMethod,CountDeclClass
Public Method,"JPlay.Sprite.moveY",,,3,1,1,,,,,14,0,,
Public Method,"JPlay.Sprite.setVelocityX",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Sprite.setVelocityY",,,1,1,0,,,,,4,0,,
Public Class,"JPlay.Time",80,1,22,,1,1,0,1,1,136,0,19,
Public Constructor,"JPlay.Time.Time",,,1,1,0,,,,,4,0,,
Public Constructor,"JPlay.Time.Time",,,1,1,0,,,,,4,0,,
Public Constructor,"JPlay.Time.Time",,,1,1,0,,,,,14,0,,
Private Method,"JPlay.Time.calculateSeconds",,,1,1,0,,,,,4,0,,
Private Method,"JPlay.Time.createAction",,,1,1,0,,,,,21,0,,
Class,"JPlay.Time.createAction.(Anon_1)",0,3,3,,2,1,0,2,1,14,0,1,
Public Method,"JPlay.Time.createAction.(Anon_1).actionPerformed",,,3,1,2,,,,,13,0,,
Public Method,"JPlay.Time.draw",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Time.draw",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Time.getHour",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Time.getMinute",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Time.getSecond",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Time.getTotalSecond",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Time.setColor",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Time.setFont",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Time.setHour",,,1,1,0,,,,,5,0,,
Public Method,"JPlay.Time.setMinute",,,1,1,0,,,,,5,0,,
Public Method,"JPlay.Time.setSecond",,,1,1,0,,,,,5,0,,
Public Method,"JPlay.Time.setTime",,,1,1,0,,,,,7,0,,
Public Method,"JPlay.Time.timeEnded",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Time.toString",,,4,1,1,,,,,17,0,,
Public Class,"JPlay.Window",77,1,13,,1,2,0,1,2,97,1,12,
Public Constructor,"JPlay.Window.Window",,,1,1,0,,,,,20,0,,
Public Method,"JPlay.Window.clear",,,1,1,0,,,,,5,0,,
Public Method,"JPlay.Window.createCustomCursor",,,1,1,0,,,,,8,0,,
Public Method,"JPlay.Window.delay",,,2,1,1,,,,,11,0,,
Public Method,"JPlay.Window.display",,,1,1,0,,,,,9,0,,
Public Method,"JPlay.Window.drawText",,,1,1,0,,,,,8,0,,
Public Method,"JPlay.Window.drawText",,,1,1,0,,,,,5,0,,
Public Method,"JPlay.Window.exit",,,1,1,0,,,,,5,0,,
Public Method,"JPlay.Window.getGameGraphics",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Window.getKeyboard",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Window.getMouse",,,1,1,0,,,,,4,0,,
Public Method,"JPlay.Window.timeElapsed",,,1,1,0,,,,,4,0,,
File,"Jogador.java",,1,9,,0,,,,,35,0,9,1
File,"JogadorDaVez.java",,1,5,,0,,,,,67,14,5,2
File,"JogadorHumano.java",,1,20,,1,,,,,95,0,17,1
File,"Keyboard.java",,1,13,,1,,,,,74,19,9,1
File,"LucrosDividendos.java",,1,2,,0,,,,,16,1,2,1
File,"Main.java",,1,1,,0,,,,,8,0,1,1
File,"MensagemCamposDeAcao.java",,1,5,,0,,,,,55,14,5,2
File,"MensagemSorteReves.java",,1,5,,0,,,,,62,14,5,2
File,"MostrarPedidoDeCompra.java",,1,10,,0,,,,,93,16,10,5
File,"Mouse.java",,1,27,,1,,,,,95,28,16,1
File,"ObserverJogador.java",,0,0,,0,,,,,5,0,1,1
File,"ParadaLivre.java",,1,1,,0,,,,,6,0,1,1
File,"Peca.java",,1,4,,0,,,,,19,0,4,1
File,"Point.java",,1,2,,0,,,,,16,10,2,1
File,"PontoDePartida.java",,1,2,,0,,,,,17,1,2,1
File,"Prisao.java",,1,2,,0,,,,,12,0,2,1
File,"Propriedade.java",,1,3,,0,,,,,18,0,3,1
File,"RealizarConstrucao.java",,1,10,,0,,,,,91,15,10,5
File,"Reves.java",,1,3,,1,,,,,14,0,2,1
